timestamp,worker_id,batch_size,duration_ms,total_rows_after_insert_approx
2025-05-21T20:54:11.359461,1,1000,19.01,644000
2025-05-21T20:54:11.418337,1,1000,19.89,646000
2025-05-21T20:54:11.475930,1,1000,18.80,648000
2025-05-21T20:54:11.533893,1,1000,18.67,650000
2025-05-21T20:54:11.591358,1,1000,18.50,652000
2025-05-21T20:54:11.649921,1,1000,18.81,654000
2025-05-21T20:54:11.707484,1,1000,18.90,656000
2025-05-21T20:54:11.785356,1,1000,38.61,658000
2025-05-21T20:54:11.855040,1,1000,19.62,660000
2025-05-21T20:54:11.913064,1,1000,19.07,662000
2025-05-21T20:54:11.979787,1,1000,20.32,664000
2025-05-21T20:54:12.039963,1,1000,20.32,666000
2025-05-21T20:54:12.099890,1,1000,20.52,668000
2025-05-21T20:54:12.160015,1,1000,20.25,670000
2025-05-21T20:54:12.219794,1,1000,20.21,672000
2025-05-21T20:54:12.279131,1,1000,20.33,674000
2025-05-21T20:54:12.339214,1,1000,20.31,676000
2025-05-21T20:54:12.398951,1,1000,20.47,678000
2025-05-21T20:54:12.459549,1,1000,20.66,680000
2025-05-21T20:54:12.520777,1,1000,21.41,682000
2025-05-21T20:54:12.586967,1,1000,20.29,684000
2025-05-21T20:54:12.623362,2,1000,20.39,685000
2025-05-21T20:54:12.683196,2,1000,20.15,687000
2025-05-21T20:54:12.741985,2,1000,19.29,689000
2025-05-21T20:54:12.794233,2,1000,12.65,691000
2025-05-21T20:54:12.864064,2,1000,12.66,693000
2025-05-21T20:54:12.935047,2,1000,13.41,695000
2025-05-21T20:54:13.008063,2,1000,15.93,697000
2025-05-21T20:54:13.078136,2,1000,15.33,699000
2025-05-21T20:54:13.159466,2,1000,26.98,701000
2025-05-21T20:54:13.231527,2,1000,21.72,703000
2025-05-21T20:54:13.295764,2,1000,20.50,705000
2025-05-21T20:54:13.355995,2,1000,20.24,707000
2025-05-21T20:54:13.417949,2,1000,22.07,709000
2025-05-21T20:54:13.477100,2,1000,19.49,711000
2025-05-21T20:54:13.535591,2,1000,19.13,713000
2025-05-21T20:54:13.594345,2,1000,19.87,715000
2025-05-21T20:54:13.652451,2,1000,18.69,717000
2025-05-21T20:54:13.713637,2,1000,22.43,719000
2025-05-21T20:54:13.789020,2,1000,35.08,721000
2025-05-21T20:54:13.860395,2,1000,20.37,723000
2025-05-21T20:54:13.930101,2,1000,19.92,725000
2025-05-21T20:54:14.000918,2,1000,19.52,727000
2025-05-21T20:54:14.071903,2,1000,19.74,729000
2025-05-21T20:54:14.143218,2,1000,19.56,731000
2025-05-21T20:54:14.207212,2,1000,20.50,733000
2025-05-21T20:54:14.266491,2,1000,20.32,735000
2025-05-21T20:54:14.327517,2,1000,21.66,737000
2025-05-21T20:54:14.388093,2,1000,21.32,739000
2025-05-21T20:54:14.448588,2,1000,20.72,741000
2025-05-21T20:54:14.517516,2,1000,21.37,743000
2025-05-21T20:54:14.584172,2,1000,23.73,745000
2025-05-21T20:54:14.642807,2,1000,19.34,747000
2025-05-21T20:54:14.700529,2,1000,19.07,749000
2025-05-21T20:54:14.758231,2,1000,19.03,751000
2025-05-21T20:54:14.811015,2,1000,12.85,753000
2025-05-21T20:54:14.880718,2,1000,13.28,755000
2025-05-21T20:54:14.950947,2,1000,14.05,757000
2025-05-21T20:54:15.020205,2,1000,14.37,759000
2025-05-21T20:54:15.088938,2,1000,14.07,761000
2025-05-21T20:54:15.160085,2,1000,15.53,763000
2025-05-21T20:54:15.236846,2,1000,22.42,765000
2025-05-21T20:54:15.304804,2,1000,20.92,767000
2025-05-21T20:54:15.366732,2,1000,19.26,769000
2025-05-21T20:54:15.427419,2,1000,21.82,771000
2025-05-21T20:54:15.491323,2,1000,25.24,773000
2025-05-21T20:54:15.548910,2,1000,18.72,775000
2025-05-21T20:54:15.608959,2,1000,21.23,777000
2025-05-21T20:54:15.670074,2,1000,21.46,779000
2025-05-21T20:54:15.730570,2,1000,20.79,781000
2025-05-21T20:54:15.813611,2,1000,36.70,783000
2025-05-21T20:54:15.884520,2,1000,19.54,785000
2025-05-21T20:54:15.954588,2,1000,19.84,787000
2025-05-21T20:54:16.026100,2,1000,20.53,789000
2025-05-21T20:54:16.096686,2,1000,20.25,791000
2025-05-21T20:54:16.168595,2,1000,20.40,793000
2025-05-21T20:54:16.238932,2,1000,19.27,795000
2025-05-21T20:54:16.311100,2,1000,20.68,797000
2025-05-21T20:54:16.394958,2,1000,32.48,799000
2025-05-21T20:54:16.474431,2,1000,19.77,801000
2025-05-21T20:54:16.548932,2,1000,21.85,803000
2025-05-21T20:54:16.619874,2,1000,19.67,805000
2025-05-21T20:54:16.688614,2,1000,19.12,807000
2025-05-21T20:54:16.759071,2,1000,19.69,809000
2025-05-21T20:54:16.831179,2,1000,20.33,811000
2025-05-21T20:54:16.901893,2,1000,19.75,813000
2025-05-21T20:54:16.973128,2,1000,21.38,815000
2025-05-21T20:54:17.046513,2,1000,21.61,817000
2025-05-21T20:54:17.116842,2,1000,19.35,819000
2025-05-21T20:54:17.187090,2,1000,19.45,821000
2025-05-21T20:54:17.258143,2,1000,19.42,823000
2025-05-21T20:54:17.334791,2,1000,28.10,825000
